Molecule Name,SMILES_x,SMILES_clean,ORIGIN,structure_ID
PCM-0111871,O=C(CC1=CSC=C1)N1CCN(CC1)C1=CC(=NN1)C1=CC=CS1,O=C(Cc1ccsc1)N1CCN(c2cc(-c3cccs3)n[nH]2)CC1,,
PCM-0108686,N#CC1=CC=C(CN2CCC(CC2)C2CCNC2)C=C1,N#Cc1ccc(CN2CCC(C3CCNC3)CC2)cc1,,
PCM-0084967,CCN1C(CSC2=NC(C)=C(C)N2CC2CCCO2)=NC2=C1C=CC(=C2)S(=O)(=O)N(C)C,CCn1c(CSc2nc(C)c(C)n2CC2CCCO2)nc2cc(S(=O)(=O)N(C)C)ccc21,,
PCM-0081753,CCOC(=O)C1=C(Cl)C=NC(=N1)S(C)(=O)=O,CCOC(=O)c1nc(S(C)(=O)=O)ncc1Cl,,
PCM-0081578,[H]N(C(=O)C1=C(Cl)C=NC(=N1)S(C)(=O)=O)C1=C(CC2=CC=CC=C2)C=CC=C1,CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccccc2Cc2ccccc2)n1,,
PCM-0075528,[H]N(C(=O)CN1C=NC(=N1)C#N)C1=C(Cl)C=C(Br)C=C1,N#Cc1ncn(CC(=O)Nc2ccc(Br)cc2Cl)n1,,
PCM-0073207,CS(=O)(=O)C1=C(N=C(O1)C1=CC=C(F)C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1,CS(=O)(=O)c1oc(-c2ccc(F)cc2)nc1S(=O)(=O)c1ccc(Cl)cc1,,
PCM-0072276,[H]C(C1=C(C)C=CS1)=C1N=C(OC1=O)C1=CC=CC(OC)=C1,COc1cccc(C2=NC(=Cc3sccc3C)C(=O)O2)c1,,
PCM-0071080,[H]C(C1=CC=C(S1)N1CCOCC1)=C1N=C(OC1=O)C1=CC=CS1,O=C1OC(c2cccs2)=NC1=Cc1ccc(N2CCOCC2)s1,,
PCM-0069438,[H]OCCN1C(CSC2=NC3=C(O2)C=CC=C3)=NC2=C1C=C(Cl)C=C2,OCCn1c(CSc2nc3ccccc3o2)nc2ccc(Cl)cc21,,
PCM-0045013,[H]N1C=CC2=C(C=C(\C=C\CCC)C=C2)C1=O,CCCC=Cc1ccc2cc[nH]c(=O)c2c1,,
PCM-0028567,[H]N1C=C(N=C1CCCC)C1=NC=CN1CC1=COC=C1,CCCCc1nc(-c2nccn2Cc2ccoc2)c[nH]1,,
PCM-0028158,[H]N1C=C(N=C1CCCC)C1=NC=CN1CCC1=CC=CC=N1,CCCCc1nc(-c2nccn2CCc2ccccn2)c[nH]1,,
PCM-0021098,[H]N1C=C(N=C1CCCC)C1=NC=CN1CC(F)(F)F,CCCCc1nc(-c2nccn2CC(F)(F)F)c[nH]1,,
PCM-0013460,COC(=O)C1=C(N(N=C1C)C(=O)C1=CC=C(C)C=C1)C1=NOC(C)=C1,COC(=O)c1c(C)nn(C(=O)c2ccc(C)cc2)c1-c1cc(C)on1,,
PCM-0013046,CC(C)(C)C1=CC=C(C=C1)C1=NN=C(O1)SC1=CN=C(S1)[N+]([O-])=O,CC(C)(C)c1ccc(-c2nnc(Sc3cnc([N+](=O)[O-])s3)o2)cc1,,
PCM-0012600,O1C(SC2=CC(=NC3=NC=NN23)C2=CC=CC=C2)=NN=C1C1=CC=NC=C1,c1ccc(-c2cc(Sc3nnc(-c4ccncc4)o3)n3ncnc3n2)cc1,,
PCM-0011671,ClC1=CC=CC(Cl)=C1SC1=C(SC2=C(Cl)C=CC=C2Cl)C(=O)C1=O,O=c1c(Sc2c(Cl)cccc2Cl)c(Sc2c(Cl)cccc2Cl)c1=O,,
PCM-0010988,COC1=CC=C(C=C1)N1CSCC2=NC3=CC=CC=C3N2C1,COc1ccc(N2CSCc3nc4ccccc4n3C2)cc1,,
PCM-0010922,O=C(N1N=CC(C#N)=C1C1CC1)C1=CC=CS1,N#Cc1cnn(C(=O)c2cccs2)c1C1CC1,,
PCM-0010748,[O-][N+](=O)C1=CN=C(SC2=NN=C(O2)C2=CC=C(Cl)C=C2)S1,O=[N+]([O-])c1cnc(Sc2nnc(-c3ccc(Cl)cc3)o2)s1,,
PCM-0010527,O=C(OC1=CC=C2C(=O)COC2=C1)C1=CC=CS1,O=C(Oc1ccc2c(c1)OCC2=O)c1cccs1,,
PCM-0009783,CC1=CC(C)=C(C#N)C(SC2=NC=NC3=C2N=NN3CC2=CC=CC=C2)=N1,Cc1cc(C)c(C#N)c(Sc2ncnc3c2nnn3Cc2ccccc2)n1,,
PCM-0009684,[H]N(C1=NC2=CC=CC=C2C(=O)O1)C1=CC=CC=C1,O=c1oc(Nc2ccccc2)nc2ccccc12,,
PCM-0009549,S=C1SCN(CC2=CC=CN=C2)CN1CC1=CC=CN=C1,S=C1SCN(Cc2cccnc2)CN1Cc1cccnc1,,
PCM-0009510,[H]N(C(=O)C1=CC(OC)=CC=C1)C1=NN([H])C(SCC2=CC=C(Cl)C=C2)=N1,COc1cccc(C(=O)Nc2n[nH]c(SCc3ccc(Cl)cc3)n2)c1,,
PCM-0006367,[H]N(C1=CC=CC=C1SCC1=CC=CC(Cl)=C1F)S(=O)(=O)C1=C(Cl)SC(Cl)=C1,O=S(=O)(Nc1ccccc1SCc1cccc(Cl)c1F)c1cc(Cl)sc1Cl,,
PCM-0006323,COC(=O)C1=C(N(N=C1C)C(=O)C1=CC=CS1)C1=C(C)N=NS1,COC(=O)c1c(C)nn(C(=O)c2cccs2)c1-c1snnc1C,,
PCM-0004708,COC1=CC=CC(\C=C2\N=C(OC2=O)C2=CC=CS2)=C1OC,COc1cccc(C=C2N=C(c3cccs3)OC2=O)c1OC,,
PCM-0004406,[O-][N+](=O)C1=CN=C(SC2=NN=C(N2C2=CC=C(OCC3=CC=CC=C3)C=C2)C2=CC=CO2)S1,O=[N+]([O-])c1cnc(Sc2nnc(-c3ccco3)n2-c2ccc(OCc3ccccc3)cc2)s1,,
PCM-0004252,CSC1=NN=C(SC2=NC=C(S2)[N+]([O-])=O)S1,CSc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,,
PCM-0003700,[H]N(C(=O)N([H])C1=CC=CC=C1SC1=NC=C(S1)[N+]([O-])=O)C1=CC=CC(=C1)C(F)(F)F,O=C(Nc1cccc(C(F)(F)F)c1)Nc1ccccc1Sc1ncc([N+](=O)[O-])s1,,
PCM-0003051,C(SC1=NCCS1)C1=CC=CC(CSC2=NCCS2)=N1,c1cc(CSC2=NCCS2)nc(CSC2=NCCS2)c1,,
PCM-0002130,[H]OC1=NC(O[H])=C2C(=C1)N([H])N=C2N([H])[H],Nc1n[nH]c2cc(O)nc(O)c12,,
PCM-0001796,[O-][N+](=O)C1=CN=C(SC2=NC=CC(=N2)C2=CC=CN=C2)S1,O=[N+]([O-])c1cnc(Sc2nccc(-c3cccnc3)n2)s1,,
